weight,ll,llt,prior
1.0,-5.658522014108289,0.0,-2.848934206294368
1.0,-5.754028535387084,0.0,-2.787300374939825
1.0,-5.420194825149667,0.0,-3.248332697635888
1.0,-6.900486634212052,0.0,-2.416407309657371
1.0,-5.5711944718841355,0.0,-2.920198591138313
1.0,-6.177397446353146,0.0,-2.602592476884668
1.0,-5.621112256237405,0.0,-2.877172146773934
1.0,-5.421963162906833,0.0,-3.186534095527559
1.0,-8.846946895903358,0.0,-2.1676090733314046
1.0,-6.1621043873283075,0.0,-2.607802361267443
1.0,-13.441134351018388,0.0,-2.0176471930919577
1.0,-5.6071284418788245,0.0,-2.8885256872612084
1.0,-7.156240044500672,0.0,-2.368861566865533
1.0,-6.442111803632147,0.0,-2.5226930759867807
1.0,-12.385712538846448,0.0,-2.0246170691287
1.0,-12.1270458663827,0.0,-2.028180497000347
1.0,-5.585184328345372,0.0,-2.9073951183886506
1.0,-5.454894673429958,0.0,-3.0735606800670476
1.0,-9.300562713096387,0.0,-2.1342984164582703
1.0,-6.230641644948998,0.0,-2.5850252982486115
1.0,-8.536551110917165,0.0,-2.194291894776356
1.0,-5.9987689918598806,0.0,-3.957630593158898
1.0,-10.824066194172124,0.0,-2.059635744409164
1.0,-6.272506036198898,0.0,-2.5717944024729578
1.0,-8.923877656647077,0.0,-2.1615108889249774
1.0,-5.634309989723456,0.0,-2.8668779611621185
1.0,-6.20069205562934,0.0,-2.5948001963384426
1.0,-10.304489727737964,0.0,-2.0796738360351323
1.0,-6.531923779336936,0.0,-2.4991873620913614
1.0,-5.670551305901939,0.0,-2.8404253586036097
1.0,-5.428750647995214,0.0,-3.3098246241025064
1.0,-6.250716284654457,0.0,-2.5786198223069468
1.0,-5.597942621741651,0.0,-2.896257893533102
1.0,-6.424935991080163,0.0,-4.225364744099257
1.0,-10.444875767214615,0.0,-2.0737707641981813
1.0,-7.688794613456828,0.0,-2.288091193924611
1.0,-5.557910141094042,0.0,-2.9330061566783536
1.0,-5.700949005341069,0.0,-2.819973268045537
1.0,-5.565644246460345,0.0,-3.5726623628938388
1.0,-5.623665231129833,0.0,-2.875150232793816
1.0,-6.3691225076390765,0.0,-2.5430047414317825
1.0,-6.468915482040167,0.0,-4.250251428213436
1.0,-6.9955565371719395,0.0,-4.523876414368172
1.0,-5.592492604405123,0.0,-2.9009564528307035
1.0,-5.536070459369552,0.0,-2.9556993316765743
1.0,-6.064718216648752,0.0,-2.642903847020653
1.0,-6.578944855211609,0.0,-2.487473521379389
1.0,-5.479919603688946,0.0,-3.0283895193728307
1.0,-6.464359591554849,0.0,-4.2476914913749955
1.0,-5.5340146485857264,0.0,-2.9579563310837775
1.0,-5.61642290744744,0.0,-2.88092598371108
1.0,-5.429221300569402,0.0,-3.1457580993873977
1.0,-6.7673126109052255,0.0,-2.4441005403885097
1.0,-5.478951969357567,0.0,-3.0299207943044566
1.0,-6.771755223969334,0.0,-2.4431398818196435
