weight,ll,llt,prior
1.0,-18.323037632135584,-2.710252395637415,-5.293318907718778
1.0,-19.388232447453046,-2.7181479451814896,-5.218752939613452
1.0,-19.603411345709162,-2.8263978374598993,-5.691584787050203
1.0,-20.36002132812356,-2.7521495434336174,-5.619352491144641
1.0,-18.96724608020498,-2.7106406887288186,-5.218767977017131
1.0,-19.912985794493903,-2.788967724781754,-4.946679396827379
1.0,-18.70164832597696,-2.7543553411635164,-5.005404839865858
1.0,-18.639046731327117,-2.765385309051674,-4.989390059972589
1.0,-18.31091262753676,-2.7211234049112205,-5.3894869980425355
1.0,-18.784454463270137,-2.7250488345414334,-5.400423231476884
1.0,-19.511643353811532,-2.7121735476758975,-5.276704715521007
1.0,-20.580690196426033,-2.890680634991873,-5.878870924163181
1.0,-19.627239996160853,-2.744349934573549,-5.049428287354313
1.0,-20.150658379089396,-2.7626860168685883,-5.086349540081579
1.0,-18.749169034663595,-2.7475876703890436,-5.489399028766389
1.0,-18.72166263523608,-2.7568832403386208,-5.023625097188507
1.0,-18.56340084679459,-2.7284956551820096,-5.086974206835981
1.0,-18.626444037312194,-2.759013762414998,-5.526413779384784
1.0,-18.75767298648443,-2.7215554884499937,-5.381371195116511
1.0,-18.26382685434264,-2.710977842052534,-5.303654541370564
1.0,-18.651273180548234,-2.7490996929500104,-5.517961368874882
1.0,-18.311765821007956,-2.725904970622703,-5.102493698213612
1.0,-18.38234787749002,-2.7164907569727927,-5.14899734474295
1.0,-20.36422731951605,-2.9826869228901938,-5.956729458130544
1.0,-20.553311402601217,-3.0056577676658973,-5.992746160118863
1.0,-21.917667501936695,-3.0312915325642047,-4.743246353804155
1.0,-18.871175130659218,-2.7392301060335025,-5.502590988785516
1.0,-18.33553155511157,-2.7119563495280756,-5.212464490639395
1.0,-19.451540165781477,-2.7482013355553363,-5.033869554013404
1.0,-18.369692745788882,-2.7126895681094516,-5.181413255192717
1.0,-18.457488604363316,-2.7202821969909534,-5.1520850790017105
1.0,-19.13253750197795,-2.7631395741725737,-4.987925901042511
1.0,-18.940381642574366,-2.7308358013362035,-5.429736418377491
1.0,-20.32991072165661,-2.7812907633660746,-4.972596211952762
1.0,-21.031158529029675,-2.733856482560983,-5.591791675306076
1.0,-18.34245187489168,-2.729385824567191,-5.422533636841108
1.0,-18.48328573586181,-2.7196919043703973,-5.128939828127321
1.0,-18.309266575106765,-2.7179242969503425,-5.371539369732433
1.0,-18.947947417696135,-2.744074287044003,-5.036634083635177
1.0,-18.591998727748255,-2.709968157735303,-5.231281670290472
1.0,-19.695966872603286,-2.8808471611487754,-5.790936064093714
1.0,-19.19615395665741,-2.780059759955721,-4.950987083829249
1.0,-18.203952480764546,-2.712100212332702,-5.196720321630604
1.0,-18.7498122929033,-2.7180135665328997,-5.359336785844896
1.0,-18.3048771119159,-2.7188913255977205,-5.134675187024763
1.0,-22.842102906784547,-2.7234964522269403,-5.219123318527903
1.0,-20.893504963763814,-2.7100116637874248,-5.28422782477408
1.0,-18.77214315030507,-2.7200639378993214,-5.130136689403368
1.0,-18.521923331571692,-2.735859565432713,-5.059446224344283
1.0,-20.489258161290124,-2.7191889891190972,-5.497925668297826
1.0,-18.333783430892147,-2.7100658239055657,-5.248901514104967
1.0,-19.014886030666457,-2.7630813895138457,-5.024964068459507
1.0,-18.41302488353731,-2.7387890015539984,-5.056714047091494
1.0,-18.36350801009315,-2.7324232878487655,-5.07639230160909
1.0,-20.03403479520842,-2.9363266052122485,-5.88358676466762
1.0,-18.743834086702066,-2.7667502574488134,-4.996177476941766
1.0,-18.70553962871554,-2.751123680513702,-5.013825866778991
1.0,-19.94906798619262,-2.7484294601789214,-5.117827852547164
1.0,-19.273792912725316,-2.71453758836934,-5.17811829816325
1.0,-18.80414863703806,-2.771640342001173,-5.561185678441943
1.0,-18.628009631010052,-2.7516509638089444,-5.012587556257262
1.0,-20.501932073027422,-2.7224968613269622,-5.517151524827769
1.0,-18.570274648184903,-2.735220028356753,-5.087718978552884
1.0,-19.67281825774043,-2.7100653566304866,-5.323666643894108
1.0,-18.700497658109377,-2.719650234589597,-5.171632639974069
1.0,-18.931743519773573,-2.775838224380381,-5.601001160576293
1.0,-21.094981408634347,-2.7286389049577435,-5.573756551252597
1.0,-18.71240737828031,-2.7386256332000074,-5.084138545544526
1.0,-18.19899925955799,-2.7104591851565925,-5.279199757636506
1.0,-18.84965043590786,-2.7579628370702753,-5.029248371379381
1.0,-18.64497197625919,-2.732649809525362,-5.465445275421569
1.0,-18.467606853088405,-2.7188697214486726,-5.133708630635237
1.0,-18.945280301004573,-2.7197618245884008,-5.1849703310282536
1.0,-18.671207790435794,-2.7176959294576353,-5.395547846077218
1.0,-18.448348314930364,-2.7420097204799374,-5.049226925748362
1.0,-18.339051043098273,-2.72270776267339,-5.128079826771474
1.0,-18.76905249543906,-2.7098008955236006,-5.299008004255892
1.0,-18.37210126553063,-2.723968917320902,-5.392349113697176
1.0,-19.030526952884223,-2.7144347966302407,-5.391474442722057
1.0,-18.60730395335448,-2.75202729998603,-5.029910491525016
1.0,-18.2571337107004,-2.7162016739366575,-5.3546793564149135
1.0,-19.70762473247141,-2.900604392218504,-4.783761023401638
1.0,-19.41388416370566,-2.711941138111273,-5.318957928260955
1.0,-18.419771089610627,-2.7149869718438273,-5.187192633156771
