weight,ll,llt,prior
1.0,-57.25308977506952,-2.9161717294631515,-6.339289868229849
1.0,-27.142878456202215,-3.7115625466561974,-6.752172634007001
1.0,-40.508356638066616,-4.2906284933190335,-4.666619833000094
1.0,-30.740142107493725,-3.5623523289752654,-4.538213341243741
1.0,-48.20447523239494,-3.05178626059931,-5.820850170563075
1.0,-19.60116144915037,-2.8874022003057442,-4.799036822878881
1.0,-40.990856593417845,-4.77354949574382,-4.299825835974659
1.0,-48.742081707804545,-2.821552760592931,-6.147468638860765
1.0,-23.24771593493934,-3.2262140950690448,-4.549047854109823
1.0,-18.94638834479723,-2.7828618462165933,-4.942953949612529
1.0,-25.656175292449092,-2.739797482546524,-5.8167964440623114
1.0,-21.170650520294302,-2.7900431627142757,-5.069027433373163
1.0,-23.722105128555498,-3.3957962182373476,-4.4716130285208076
1.0,-23.40944130596876,-2.867407997858959,-4.90918219647966
1.0,-40.33566308019074,-4.8554166981698685,-4.385232381325208
1.0,-31.00438394281756,-3.8740920357058193,-4.490672525204921
1.0,-18.28168044122254,-2.7111387760575556,-5.307902372209917
1.0,-46.71001148600665,-3.7845623758898395,-5.201389719459026
1.0,-33.33785446031999,-2.9244081322012816,-6.478151259912447
1.0,-61.331704252828,-3.907490955388077,-8.335063400957123
1.0,-33.79487455158946,-4.322926478624099,-4.358354279184292
1.0,-23.524729757773905,-2.7569556412290286,-5.121648059955406
1.0,-35.78030225284828,-4.878458041675591,-4.124425730937912
1.0,-28.907426092929178,-4.03806633358696,-4.277972070747811
1.0,-23.6349260011205,-2.8003971180629454,-5.158502595221072
1.0,-22.90456971520427,-2.7133211391124457,-5.431696192598477
1.0,-31.179876280313543,-4.123106125546764,-4.348383631221803
1.0,-19.587342861083282,-2.7442031663715465,-5.048969580506859
1.0,-54.47828945788827,-2.7403040353408974,-6.98625942409522
1.0,-22.014135433109978,-2.7568742632333665,-5.077094071592747
1.0,-57.81721417270442,-2.726746162096286,-6.753342321081815
1.0,-19.703847833766055,-2.7138335388369934,-5.420603784062166
1.0,-19.85039773743152,-2.711573254263749,-5.324585750017572
1.0,-22.50105720853061,-2.8003728968467,-5.108134692836205
1.0,-21.29221755088078,-3.086883293732666,-4.621741336941023
1.0,-27.120091045100455,-3.757254169019733,-4.379333826728717
1.0,-22.800593248404986,-2.832230138602024,-5.898977111870667
1.0,-36.09690237485181,-3.075602430027236,-6.7560639807708895
